en;nl;fr;de;sv;pl
Enable this if you want to hide the total discount field on the quotations screen.;Schakel dit in als u het totale korting veld op het offertescherm wilt verbergen.;Activez cette option si vous souhaitez masquer le champ de la remise totale sur les pages des devis;Aktivieren Sie dies, wenn Sie das Gesamtrabattfeld auf dem Angebotsbildschirm ausblenden möchten;Slå på den här fliken om du vill dölja totalrabattfältet i offerten.;Włącz tę opcję, jeśli chcesz ukryć pole całkowitego rabatu na ekranie oferty.
Hide quotation margin columns;Verberg kolommen voor offertemarge;Masquer les colonnes de marge des devis;Kolumnen des Angebotspielraums ausblenden;Dölj marginalkolumn i offerten.;Ukryj kolumny marży oferty
Enable this if you want to hide the margin columns in the Quotation lines table. (By default margin columns are hidden behind the chevron button in the far right of the table.);Schakel dit in als u de margekolommen in de offerteregels tabel wilt verbergen. (Standaard zijn margekolommen verborgen achter de chevronknop helemaal rechts in de tabel.);Activez cette option si vous souhaitez masquer les colonnes de marge dans le tableau des lignes de devis. (Par défaut, les colonnes de marge sont masquées derrière le bouton en forme de chevron à l'extrême droite du tableau).;Aktivieren Sie dies, wenn Sie den Kolumnenspieraum in der Angebotszeilentabelle ausblenden möchten. (Standardmäßig werden die Randspalten hinter der Chevron-Schaltfläche ganz rechts in der Tabelle ausgeblendet.);Slå på knappen om du vill dölja marginalkolumnerna i tabellen Offertlinjer. (Som standard döljs marginalkolumnerna bakom chevron knappen längst till höger i tabellen).;Włącz tę opcję, jeśli chcesz ukryć kolumny marży w tabeli Oferty. (Domyślnie kolumny marży są ukryte za przyciskiem w kształcie jodełki po prawej stronie tabeli).
Enable this if you want to be able to change the amount of each quotation group.;Schakel dit in als u het aantal van elke offertegroep wilt kunnen wijzigen.;Activez cette option si vous souhaitez pouvoir modifier le montant de chaque groupe de devis.;Aktivieren Sie dies, wenn Sie die Menge jeder Angebotsgruppe ändern wollen.;Slå på knappen om du vill ändra beloppet för varje offertgrupp.;Włącz tę opcję, jeśli chcesz mieć możliwość zmiany kwoty każdej grupy ofert.
Quotation group multiplier;Offertegroep vermenigvuldiger;Multiplicateur de groupe de cotation;Angebotsgruppenmultiplikator;Multiplikatoreffekt för offertgruppen;Mnożnik grupy Oferty
Edit presets;Tabelvoorinstellingen aanpassen;Modifier les préréglages;Tabellenvoreinstellungen anpassen;Anpassa tabellförinställningar.;Edytuj ustawienia wstępne
Choose at which level table presets are allowed to be configured;Kies op welk niveau tabelvoorinstellingen mogen worden geconfigureerd;Choisissez à quel niveau les préréglages du tableau sont autorisés à être configurés;Wählen Sie das Niveau auf dem die Tabelvoreinstellungen konfiguriert werden sollen.;Välj på vilken nivå förinställningar för tabeller får konfigureras.;Wybierz, na jakim poziomie ustawienia wstępne tabeli mogą być konfigurowane
Original name:;Originele naam:;Nom original :;Originalname:;Ursprungligt namn:;Oryginalna nazwa:
Edit table preferences;Tabelvoorkeuren bewerken;Modifier les préférences de la table;Bevorzugte Tabellen wählen;Redigera tabellinställningar;Edytuj preferencje tabeli
Add column;Kolom toevoegen;Ajouter une colonne;Kolumne hinzufügen;Lägg till kolumn;Dodaj kolumnę
Use this to permanently remove this preference preset.;Gebruik dit om deze voorkeursinstelling permanent te verwijderen.;Utilisez cette option pour supprimer définitivement cette préférence prédéfinie.;Verwenden Sie dies, um diese bevorzugte Einstellung dauerhaft zu löschen.;Använd den här funktionen för att permanent ta bort den här inställningen.;Użyj tego, aby trwale usunąć to ustawienie wstępne preferencji.
Delete preference;Voorkeur verwijderen;Supprimer la préférence;Bevorzugung löschen;Ta bort inställningar;Usuń preferencję
Add filter;Filter toevoegen;Ajouter un filtre;Filter hinzufügen;Lägg till filter;Dodaj filtr
false;onwaar;FAUX;Falsch;FELAKTIGT;Błąd
true;waar;VRAI;Richtig;SANT;Prawda
VAT number;BTW nummer;Numéro de TVA;Umsatzsteuer Identifikationsnummer (USt-ID);Momsnummer;Numer VAT
Configuration model is locked;Configuratie model is op slot;Le modèle de configuration est verrouillé;Konfigurationsmodell ist gesperrt;Konfigurationsmodellen är låst;Konfiguracja modelu jest zablokowana
The current configuration model is locked and the desired action cannot be executed. Please contact your system administrator if you want to execute the desired action.;Het huidige configuratie model is op slot en de gewenste actie kan niet worden uitgevoerd. Contacteer a.u.b. uw systeem administrator als u de gewenste actie alsnog wil uitvoeren.;Le modèle de configuration actuel est verrouillé et l'action souhaitée ne peut pas être exécutée. Veuillez contacter votre administrateur système si vous souhaitez exécuter l'action souhaitée.;Das aktuelle Konfigurationsmodell ist gesperrt und die gewünschte Aktion konnte nicht durchgeführt werden. Bitte wenden Sie sich an Ihren Systemadministrator, wenn Sie die gewünschte Aktion dennoch durchführen möchten.;Den aktuella konfigurationsmodellen är låst och den önskade åtgärden kan inte utföras. Kontakta din systemadministratör om du vill utföra den önskade åtgärden.;Bieżący model konfiguracji jest zablokowany i nie można wykonać żądanej akcji. Skontaktuj się z administratorem systemu, jeśli chcesz wykonać żądaną akcję.
There already exists a step image in this configuration model which is set as the configuration image. Would you like to change it to this step?;Er bestaat al een stap afbeelding die is ingesteld als configuratie afbeelding in dit configuratie model. Weet je zeker dat je het wil aanpassen naar deze stap?;Il existe déjà une image d'étape dans ce modèle de configuration qui est définie comme image de configuration. Voulez-vous la changer pour cette étape ?;Es gibt bereits ein Step-Image, das in diesem Konfigurationsmodell als Konfigurations-Image eingestellt ist. Sind Sie sicher, dass Sie diesen Schritt ändern möchten?;Det finns redan en stegbild i den här konfigurationsmodellen som är inställd som konfigurationsbild. Vill du ändra den till det här steget?;W tym modelu konfiguracji istnieje już obraz kroku, który jest ustawiony jako obraz konfiguracji. Czy chcesz zmienić go na ten krok?
Change configuration image?;Verander configuratie afbeelding;Modifier l'image de configuration ?;Verändere Konfigurations-Image;Ändra konfigurationsbild?;Zmienić zdjęcie konfiguracji?
Use step image as configuration image on document;Stap afbeelding gebruiken als configuratie afbeelding in het document;Utiliser l'image d'étape comme image de configuration sur le document;Verwende Step-Image als Konfigurations-Image in diesem Dokument;Använd stegbild som konfigurationsbild i dokumentet;Użyj obrazu kroku jako obrazu konfiguracji w dokumencie
Confirm;Bevestigen;Confirmer;Bestätigen;Bekräfta;
Are you sure you want to delete this unit of measurement? It currently is assigned to;Weet u zeker dat u deze meet eenheid wil verwijderen? Deze meet eenheid is op dit moment gekoppeld aan;Êtes-vous sûr de vouloir supprimer cette unité de mesure ? Elle est actuellement attribuée à;Sind Sie sich sicher dass Sie diese Messeinheit entfernen wollen? Diese Messeinheit ist im moment gelinkt an;Är du säker på att du vill radera mätningsenheten? Den är för närvarande tilldelad till;Czy na pewno chcesz usunąć tę jednostkę miary? Obecnie jest przypisany do
Showroom overview;Showroom overzicht;Aperçu de la ""Showroom"";Showroom-Übersicht;Översikt över showroom;Przegląd showroom
View image;Afbeelding bekijken;Voir l'image;Bild ansehen;Visa bild;Zobacz zdjęcie
Show all;Alles tonen;Tout afficher;Alles anzeigen;Visa alla;Pokaż wszystko
Everything mentioned above;Alles wat hierboven is benoemd;Tout ce qui est mentionné ci-dessus ;Alles was oben erwähnt wurde;Allt som nämns ovan;Wszystko wymienione powyżej
 will be ; zal worden ;sera ;Wird; kommer att vara ;będzie
removed;verwijderd;retiré;entfernt / gelöscht;bort;usunięte
 from the configuration. (This cannot be undone.); van de configuratie. (Dit kan niet worden teruggedraaid); de la configuration. (Ceci ne peut pas être annulé).;von der Konfiguration. (Dies kann nicht rückgängig gemacht werden); från konfigurationen. (Detta kan inte göras ogjort.);z konfiguracji. (Tego nie można cofnąć).
Do you want to continue?;Wilt U verdergaan?;Voulez-vous continuer ?;Wollen Sie fortfahren?;Vill du fortsätta?;Czy chcesz kontynuować?
Are you sure you want to delete this configuration?;Weet u zeker dat u deze configuratie wilt verwijderen?;Êtes-vous sûr de vouloir supprimer cette configuration ?;Sind Sie sich sicher dass Sie diese Konfiguration löschen möchten?;Är du säker på att du vill ta bort den här konfigurationen?;Jesteś pewny/a, że chcesz usunąć tą konfigurację?
The rules for this configuration have changed.;De regels(constraints) van deze configuratie zijn veranderd.;Les règles pour cette configuration ont changé.;Die Begrenzung dieser Konfiguration wurden geändert.;Reglerna för den här konfigurationen har ändrats.;Zasady tej konfiguracji uległy zmianie.
Configuration is no longer possible;De configuratie is niet meer mogelijk;La configuration n'est plus possible;Diese Konfiguration ist nicht mehr ausführbar.;Konfigurationen är inte längre möjlig;Konfiguracja nie jest dłużej możliwa
To open this configuration, the following has to be removed:;Voor het openen van de configuratie, moet het volgende worden verwijderd:;Pour ouvrir cette configuration, les éléments suivants doivent être supprimés :;Um die Konfiguration zu öffnen, müssen Sie folgendes entfernen:;För att öppna den här konfigurationen måste följande tas bort:;Aby otworzyć tę konfigurację, należy usunąć:
The configuration model has changed. To open this configuration, the following value(s) will change:;Het configuratie model is veranderd. Voor het openen van het model, wordt het volgende veranderd:;Le modèle de configuration a changé. Pour ouvrir cette configuration, les valeurs suivantes doivent être modifiées :;Das Konfigurationsmodell wurde verändert. Um die Konfiguration öffnen zu können, wird folgendes entfernt:;Konfigurationsmodellen har ändrats. För att öppna den här konfigurationen måste följande värde(n) ändras:;Zmienił się model konfiguracji. Aby otworzyć tę konfigurację, zmienią się następujące wartości:
Contact your admin for more information.;Neem contact op met de Admin voor meer informatie.;Contactez votre administrateur pour plus d'informations.;Wenden Sie sich für mehr Informationen an Ihren Systemadministrator;Kontakta din administratör för mer information.;Aby uzyskać więcej informacji, skontaktuj się z administratorem.
This change can be caused by an update to the configuration model or by a change in the parent configuration.;De verandering kan veroorzaakt zijn door een update in het configuratie model of door een verandering van de bovenliggende configuratie.;Ce changement peut être causé par une mise à jour du modèle de configuration ou par une modification de la configuration parente.;Die Änderung kann durch eine Aktualisierung im Konfigurationsmodell oder durch eine Änderung in der übergeordneten Konfiguration verursacht sein.;Den här ändringen kan orsakas av en uppdatering av konfigurationsmodellen eller av en ändring i den överordnade konfigurationen.;Ta zmiana może być spowodowana aktualizacją modelu konfiguracji lub zmianą konfiguracji nadrzędnej.
Configuration not possible;Configuratie niet mogelijk;Configuration pas possible;Konfiguration ist nicht möglich;Konfigurationen är inte möjlig;Konfigzracja nie jest możliwa
This product cannot be configured.;Dit product kan niet worden geconfigureerd.;Ce produit ne peut pas être configuré.;Diese Produkt kann nicht konfiguriert werden;Den här produkten kan inte konfigureras.;Ten produkt nie może zostać skonfigurowany
Undo your last action and try a different combination.;Ga terug naar je vorige actie en probeer een andere combinatie.;Annulez votre dernière action et essayez une autre combinaison.;Kehren Sie zurück zur zuletzt ausgeführten Handlung und versuchen Sie es mit einer anderen Kombination;Ångra din senaste åtgärd och försök med en annan kombination.;Cofnij ostatnią czynność i wypróbuj inną kombinację.
Apply selected VAT to all lines in;Pas geselecteerde btw toe op alle regels in;Appliquer la TVA sélectionnée à toutes les lignes dans;Verwenden Sie die ausgewählte Mehrwertsteuer für alle Zeilen;Tillämpa vald moms på alla rader i;Zastosuj wybrany podatek VAT do wszystkich wierszy w
Apply VAT to;Btw toepassen op;Appliquer la TVA à;MwSt. verwenden für;Tillämpa moms på;Zastosuj VAT do
Quotation properties;Offerte-eigenschappen;Propriétés des devis;Angebotseigenschaften;Egenskaper för offert;Właściwości Oferty
Copy margin settings;Kopieer marge-instellingen;Copier les paramètres de marge;Spielraum-Einstellungen kopieren;Kopiera marginalinställningar;Kopiuj ustawienia marginesów
Are you sure you want to copy this quotation?;Weet u zeker dat u deze offerte wilt kopiëren?;Êtes-vous sûr de vouloir copier cette devis ?;Sind Sie sich sicher dass Sie dieses Angebot kopieren möchten?;Är du säker på att du vill kopiera den här offerten?;Czy na pewno chcesz skopiować tą Ofertę?
Copy quotation;Kopieer offerte;Copie du devis;Angebot kopieren;Kopiera offert;Kopiuj ofertę
Copy margin;Kopieer marge;Copier la marge;Spielraum kopieren;Kopiera marginal;Kopiuj marginesy
Behavior;Gedrag;Comportement;Verhalten;Uppförande;Zachowanie
Generating previews, please wait...;Voorvertoningen genereren, even geduld ...;Génération des aperçus, veuillez patienter...;Vorschau generieren, bitte warten Sie...;Genererar förhandsgranskningar, vänligen vänta...;Generowanie podglądu, proszę czekać...
Accept changes;Accepteer veranderingen;Accepter les changements;Akzeptiere Veränderungen;Acceptera ändringar;Akceptuj zmiany
to;naar;à;nach / bis;till;do
will be set from;zal worden ingesteld vanaf;sera définie à partir de;wird eingestellt von;kommer att sättas från;zostanie ustawione od
The value of;De waarde van;La valeur de;Der Wert von;Det värdet av;Wartość
Conflicting values;Tegenstrijdige waarden;Valeurs conflictuelles;inkompatibele Werte;Motstridiga värden;Sprzeczne wartości
Requires the following to be removed:;Vereist het volgende om te worden verwijderd:;Les éléments suivants doivent être supprimés :;Folgendes muss entfernt werden:;Kräver att följande tas bort:;Wymaga usunięcia:
The following will be added;Het volgende wordt toegevoegd;Les éléments suivants seront ajoutés;Folgendes wird hinzugefügt:;Följande ska läggas till;Zostaną dodane następujące elementy
Requires one of the following options, please make a selection:;Vereist een van de volgende opties, maak een keuze:;Requiert l'une des options suivantes, veuillez faire une sélection :;Eine der folgenden Optionen ist erforderlich, treffen Sie eine Auswahl:;Kräver ett av följande alternativ, gör ett val:;Wymaga jednej z następujących opcji, dokonaj wyboru:
The choice of the following:;De keuze uit het volgende:;Le choix de ce qui suit :;Wählen Sie aus dem Folgendem:;Välj ett av följande alternativ:;Wybór następujących opcji
Adjustment of your selection required;Aanpassing van uw selectie vereist;Ajustement de votre sélection requis;Anpassung Ihrer Auswahl ist erforderlich;Anpassning av valet krävs;Wymagane dostosowanie wyboru
Default contact;Standaard contactpersoon;Contact par défaut;Standardkontaktperson;Standardkontakt;Kontakt domyślny
Create CRM account;Creëer een CRM-account;Créer un compte CRM;Erstellen Sie einen CRM-Konto;Skapa ett CRM-konto;Utwórz konto CRM
Are you sure you want to delete this CRM account?;Weet u zeker dat u dit CRM-account wilt verwijderen?;Etes-vous sûr de vouloir supprimer ce compte CRM ?;Sind Sie sich sicher dass Sie dieses CRM-Konto löschen wollen?;Är du säker på att du vill ta bort det här CRM-kontot?;Czy na pewno chcesz usunąć to konto CRM?
Delete CMR account;CMR-account verwijderen;Supprimer le compte CMR;CRM-Konto löschen;Radera CMR-konto;Usuń konto CRM
Relationship type;Soort relatie;Type de relation;Art der Beziehung;Relationstyp;Typ relacji
Address line;Adresregel;Ligne d'adresse;Adresszeile;Adressrad;Linia adresowa
New CRM account;Nieuw CRM-account;Nouveau compte CRM;Neues CRM-Konto;Nytt CRM-konto;Nowe konto CRM
Delivery address;Bezorgadres;Adresse de livraison;Lieferadresse;Leveransadress;Adres dostawy
Select CRM account;Selecteer CRM-account;Sélectionner le compte CRM;wählen / selektieren Sie einen CRM-Konto;Välj ett CRM-konto;Wybierz konto CRM
Primary phone;Vaste telefoon;Téléphone principal;Haupttelefon;Primär telefon;Główny telefon
Full name;Voor- en achternaam;Nom complet;Vor- und Nachname;Fullständigt namn;Imię i nazwisko
Select contact;Contactpersoon selecteren;Sélectionner le contact;Kontaktperson selektieren / wählen;Välj kontakt;Wybierz kontakt
Save;Opslaan;Enregistrer;Speichern;Spara;Zapisz
E-mail;E-mail;E-mail;E-Mail;E-post;E-mail
Phone number;Telefoonnummer;Numéro de téléphone;Telefonnummer;Telefonnummer;Numer telefonu
Last name;Achternaam;Nom;Nachname;Efternamn;Nazwisko
Surname prefix;Achternaam voorvoegsel;Préfixe du nom;Präfix Ihres Nachnamen;Prefix för efternamn;Prefiks nazwiska
First name;Voornaam;Prénom du client;Vorname;Förnamn;Imię
Salutation;Begroeting;Salutation;Begrüssung;Hälsning;Zwrot grzecznościowy
Edit contact;Bewerk contact;Modifier le contact;Kontakt bearbeiten;Redigera kontakt;Edytuj kontakt
Important changes;Belangrijke wijzigingen;Changements importants;wichtige Veränderungen;Viktiga ändringar;Ważne zmiany
Contact your admin;Neem contact op met je beheerder;Contactez votre administrateur;Kontaktieren Sie Ihren Administrator;Kontakta din administratör;Skontaktuj się z administratorem
New email;Nieuwe e-mail;Nouveau courriel;Neue E-Mail Adresse;Ny e-postadress;Nowy email
Enter current password;Vul huidig wachtwoord in;Entrez le mot de passe actuel;Geben Sie Ihr aktuelles Passwort ein;Ange nuvarande lösenord;Wprowadź aktualne hasło
Change email;Email wijzigen;Modifier l'email;E-Mail ändern;Ändra e-post;Zmień adres email
Close;Sluiten;Fermer;Schliessen;Stäng;Zamknij
Select;Selecteren;Sélectionnez;selektieren / wählen;Välj;Wybierz
Change environment;Omgeving veranderen;Changer d'environnement;Umgebung ändern;Byt till en annan omgivning;Zmień środowisko
Home;Home;Accueil;Home;Startsida;Strona startowa
Cost price;Kostprijs;Prix de revient;Sebstkostenpreis;Kostnadspris;Koszt własny
Master Data;Master Data;Données de base;Hauptdaten;Huvuddata;Dane podstawowe
Features;Features;Caractéristiques;Funktionen;Funktioner;Wyposażenie
Feature Properties;Feature Properties;Propriétés des fonctionnalités;Funktionseigenschaften;Egenskaper för funktioner;Opis wyposażenia
Configuration Models;Configuratiemodellen;Modèles de configuration;Konfigurationsmodelle;Konfigurationsmodeller;Modele konfiguracji
Configuration model;Configuratiemodel;Modèle de configuration;Konfigurationsmodel;Konfigurationsmodell;Model konfiguracji
Categories;Categorieën;Catégories;Kategorien;Kategorier;Kategorie
Category;Categorie;Catégorie;Kategorie ;Kategori;Kategoria
General;Algemeen;Général;Allgemeines;Allmänt;Ogólne
Pricing;Prijzen;Tarification;Preise;Prissättning;Ceny
Theme;Thema;Thème;Thema;Tema;Temat
SEO;SEO;Référencement;SEO;SEO;SEO
Default purchase discount percentage;Standaard inkoopkorting percentage;Pourcentage de remise sur achat par défaut;Prozentsatz des Standard-Einkaufrabatts;Rabattprocent för standardköp;Domyślny procent rabatu przy zakupie
Used to calculate cost price.;Gebruikt om kostprijs te berekenen;Utilisé pour calculer le prix de revient.;Verwendet zur Berechnung des Selbstkostenpreises;Används för att beräkna kostnadspriset.;Służy do obliczenia kosztów własnych
Customer reference;Klantreferentie;Référence client;Kundenreferenz;Kundreferens;Preferencja klienta
Margin percentage;Marge percentage;Pourcentage de marge;Prozentspielraum;Marginalprocent;Procent marży
Default VAT;Standaard BTW-tarief;TVA par défaut;Mehrwertsteuer-Standardsatz;Standardmoms;Domyślny podatek VAT
Select a VAT that is added to every price by default.;Selecteer een standaard BTW-tarief dat bij alle prijzen gebruikt wordt.;Sélectionnez une TVA qui sera ajoutée par défaut à chaque prix.;Wählen Sie einen Mehrwertsteuer-Standardsatz, der für alle Preise verwendet wird.;Välj en moms som ska läggas till varje pris som standard.;Wybierz podatek VAT, który jest domyślnie dodawany do każdej ceny.
Select VAT;Selecteer BTW-tarief;Sélectionner la TVA;selektiere / wähle Mehrwertsteuer-Standardsatz;Välj moms;Wybierz VAT
None;Geen;Aucune;Nichts;Inget;Nic
Wholesale discount;Staffelkorting;Remise de gros;Gruppenrabatt;Grosshandel rabatt;Rabat hurtowy
Give sub-organizations a discount based on the order value.;Geef suborganisaties een korting op basis van de orderwaarde.;Accordez aux sous-organisations une remise basée sur la valeur de la commande.;Geben Sie Unterorganisationen einen Rabatt auf der Basis des Auftragswertes.;Ge en rabatt till suborganisationer baserat på beställningsvärdet.;Daj organizacjom podrzędnym rabat na podstawie wartości zamówienia.
From amount;Van bedrag;A partir du montant;Von dem Betrag;Från belopp/antal;Od kwoty
Default percentage to increase all prices.;Standaardpercentage om alle prijzen te verhogen.;Pourcentage par défaut pour augmenter tous les prix.;Standardmäßiger Prozentsatz zum erhöhen aller Preise;En standardprocent för att höja alla priser.;Domyślna wartość procentowa w celu zwiększenia wszystkich cen.
The order is as follows: (1) Feature margin - (2) Configuration model margin - (3) Default margin percentage.;De volgorde is als volgt: (1) Featuremarge - (2) Configuratiemodelmarge - (3) Standaardmargepercentage.;L'ordre est le suivant : (1) Marge de la caractéristique - (2) Marge du modèle de configuration - (3) Pourcentage de la marge par défaut.;Die Reihenfolge ist wie folgt: (1) Funktionsspielraum - (2) Konfigurationsmodellspielraum - (3) standardmäßige Spielraumprozentsatz;Följande ordning gäller: (1) Funktionsmarginal - (2) Konfigurationsmodellmarginal - (3) Standardmarginalprocent.;Kolejność jest następująca: (1) Cechy marży - (2) Model konfiguracji marży - (3) Domyślny procent marży.
If either the feature margin, and/or the configuration model margin are applied, then the default margin percentage is not applied.;Als ofwel de feature marge en / of de configuratiemodelmarge worden toegepast, wordt het standaardmargepercentage niet toegepast.;Si la marge de la caractéristique et/ou la marge du modèle de configuration sont appliquées, le pourcentage de marge par défaut n'est pas appliqué.;Wenn entweder der Funktionsspielraum und/oder der Konfigurationsmodellspielraum angewendet werden, wird der standardmäßige Spielraumprozentsatz nicht angewendet.;Om funktionsmarginalen och/eller konfigurationsmodellmarginalen tillämpas, då kommer standardmarginalen inte att tillämpas.;Jeśli zostanie zastosowany cecha marży i/lub model konfiguracji marży, domyślna wartość procentowa marży nie zostanie zastosowana.
Add;Toevoegen;Ajouter;Hinzufügen;Tillägg;Dodaj
Enable this to display prices including VAT in order entry and the showroom.;Schakel dit in om prijzen inclusief btw weer te geven bij orderinvoer en de showroom.;Activez cette option pour afficher les prix incluant la TVA dans la saisie des commandes et dans le showroom.;Aktivieren Sie diese Option, um bei der Auftragserfassung und im Showroom Preise einschließlich Mehrwertsteuer anzuzeigen.;Slå på den här funktionen för att visa priser inkl. moms i orderingången och i showroomet.;Włącz tę opcję, aby wyświetlić ceny zawierające podatek VAT przy wprowadzaniu zamówień i showroom.
Database;Database;Base de données;Datenbank;Database;Baza danych
Table Presets;Tabelvoorinstellingen;Table Presets;Tabellenvoreinstellungen;Tabellinställningar;Ustawienia wstępne tabel
Manage Prices;Beheer prijzen;Gérer les prix;Preise verwalten;Hantera priser;Zarządzaj cenami
Step Editor;Stap Editor;Éditeur d'étapes;Schritt Editor;Step Editor;Edytor kroków
Quotations;Offertes;Devis;Angebote;Offerter;Oferty 
Templates;Templates;Modèles;Vorlagen;Mallar;Szablony
Properties;Eigenschappen;Propriétés;Eigenschaften;Egenskaper;Właściwości
CRM Accounts;CRM Accounts;Comptes CRM;CRM-Kontos;CRM-konton;Konta CRM
Integrations;Integraties;Intégrations;Integrationen;Integrationer;Integracje
Users;Gebruikers;Utilisateurs;Nutzer;Användare;Użytkownicy
Sub-organizations;Suborganisaties;Sous-organisations;Unterorganisationen;Suborganisationer;Spółki zależne
Localization;Lokalisatie;Localisation;Lokalisierung;Lokalisering;Lokalizacja
Countries;Landen;Pays;Länder;Länder;Kraje
Currencies;Valuta's;Devises;Währungen;Valutor;Waluty
Languages;Talen;Langues;Sprachen;Språk;Języki
Translations;Vertalingen;Traductions;Übersetzungen;Översättningar;Tłumaczenia
Settings;Instellingen;Paramètres;Einstellungen;Inställningar;Ustawienia 
Configure;Configureren;Configurer;Konfigurieren;Konfigurera;Konfiguruj
Create quotation;Offerte aanmaken;Créer un devis;Angebot ertsellen;Skapa offert;Stwórz ofertę
Account settings;Account instellingen;Paramètres du compte;Konto-Einstellungen;Kontoinställningar;Ustawienia konta
Open changelog;Changelog openen;Ouvrir le journal des modifications;Änderungsprotokoll öffnen;Öppna changelog;Otwórz rejestr zmian
Logout;Uitloggen;Déconnexion;Ausloggen;Logga ut;Wyloguj
Most configured products;Meest geconfigureerde producten;Produits les plus configurés;Die meist konfigurierten Produkte;Vanligaste konfigurerade produkter;Najczęściej konfigurowane produkty
Quotations created weekly;Wekelijks gemaakte offertes;Cotations créées chaque semaine;Wöchentlich erstellte Angebote;Offerter som skapades veckovis;Oferty stworzone w tygodniu
News and updates;Nieuws en updates;Nouvelles et mises à jour;Neuigkeiten und Updates;Aktuella nyheter och uppdateringar;Nowości i aktualizacje
Add item;Item toevoegen;Ajouter un article;Artikel hinzufügen;Lägg till objekt;Dodaj element
Enter configuration code;Voer configuratie code in;Entrez le code de configuration;Konfigurationscode eingeben;Ange konfigurationskod;Wprowadź kod konfiguracyjny
Next;Volgende;Suivant;weiter;Nästa;Dalej
Previous;Vorige;Précédent;zurück;Föregående;Wstecz
Description;Omschrijving;Description;Beschreibung;Beskrivning;Opis
Customer Reference;Klantreferentie;Référence client;Kundenreferenz;Kundreferens;Referencje klienta
QTY;Hoeveelheid;QTÉ;Menge;ANTAL;Ilość
Total Price;Totaalprijs;Prix total;Gesamtpreis;Totalt pris;Cena całkowita
